lvl,Refused [wool],Refused [woolfabric],Refused [corn],Refused [carrot],Refused [sugarcane],Refused [cotton],Refused [bread],Refused [cream],Refused [sugar],Refused [cheese],Refused [wheat],Refused [bagel],Refused [egg],Refused [cookie],Refused [milk],Refused [cottonfabric],Refused [shirt],Refused [butter],Refused [strawberry],Refused [pumpkin],Refused [halloweenpie],Refused [halloweencostume],Refused [popcorn],Refused [sweater],Refused [milkshake],Refused [potato],Refused [plastic],Refused [paper],Refused [cheesecake],Refused [tomat],Refused [cornchips],Refused [cheeseburger],Refused [fruitice],Refused [ball],Refused [pepper],Refused [halloweenchips],Refused [jellybeans],Refused [yogurt],Refused [lollipop],Refused [glue],Refused [eskimo],Refused [silk],Refused [syrup],Refused [table],Refused [wallpapers],Refused [cupcake],Refused [sauce],Refused [brownie],Refused [plasticbottle],Refused [icecream],Refused [coat],Refused [pine],Refused [rubberTree],Refused [cacao],Refused [toys],Refused [muffin],Refused [potatobread],Refused [toffee],Refused [couch],Refused [hat],Refused [frenchfries],Refused [nachos],Refused [silkfabric],Refused [frozenyogurt],Refused [granola],Refused [dress],Refused [candystick],Refused [papertowel],Refused [rubber],Refused [SilverBullion],Refused [sandwich],Refused [chips],Refused [chocolate],Refused [ring],Refused [pizza],Refused [taco],Refused [caramel],,,,,,,,,,,,,,,,,,,,
10-12,26584,25804,22175,21901,21218,20678,20502,20237,20125,19298,19202,18840,18811,18777,18160,18050,16420,15317,159,93,87,32,14,6,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lvl,Refused [popcorn],Refused [shirt],Refused [wool],Refused [woolfabric],Refused [bread],Refused [sugar],Refused [egg],Refused [cream],Refused [cheese],Refused [sweater],Refused [butter],Refused [cottonfabric],Refused [milk],Refused [cookie],Refused [bagel],Refused [carrot],Refused [corn],Refused [sugarcane],Refused [cotton],Refused [wheat],Refused [strawberry],Refused [tomat],Refused [cheeseburger],Refused [milkshake],Refused [halloweencostume],Refused [halloweenpie],Refused [pumpkin],Refused [halloweenchips],Refused [syrup],Refused [cornchips],Refused [paper],Refused [granola],Refused [sandwich],Refused [pine],Refused [chips],Refused [yogurt],Refused [potato],Refused [muffin],Refused [icecream],Refused [fruitice],Refused [eskimo],Refused [cacao],Refused [SilverBullion],Refused [pizza],Refused [frozenyogurt],Refused [ball],Refused [GoldBullion],Refused [chair],Refused [pepper],Refused [jellybeans],Refused [glue],Refused [silk],Refused [table],Refused [wallpapers],Refused [cupcake],Refused [plastic],Refused [suit],Refused [sauce],Refused [brownie],Refused [plasticbottle],Refused [coat],Refused [rubberTree],Refused [toys],Refused [potatobread],Refused [toffee],Refused [honeycaramel],Refused [couch],Refused [hat],Refused [frenchfries],Refused [nachos],Refused [cheesecake],Refused [silkfabric],Refused [doughnut],Refused [dress],Refused [candystick],Refused [wheel],Refused [papertowel],Refused [rubber],Refused [flipflops],Refused [caramel],,,,,,,,,,,,,,,,,
13-15,51533,40161,39812,33658,33065,32890,32795,32698,31071,30779,30413,29613,29054,28515,27192,24806,24127,23151,22314,21255,20923,7160,1405,427,110,83,74,62,13,13,9,9,3,2,2,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lvl,Refused [milkshake],Refused [popcorn],Refused [paper],Refused [wool],Refused [cheeseburger],Refused [sweater],Refused [sugar],Refused [egg],Refused [shirt],Refused [cream],Refused [cottonfabric],Refused [bread],Refused [woolfabric],Refused [butter],Refused [cheese],Refused [cornchips],Refused [cookie],Refused [carrot],Refused [syrup],Refused [milk],Refused [bagel],Refused [corn],Refused [cotton],Refused [tomat],Refused [sugarcane],Refused [strawberry],Refused [wheat],Refused [pine],Refused [granola],Refused [sandwich],Refused [coat],Refused [icecream],Refused [halloweenchips],Refused [halloweencostume],Refused [pumpkin],Refused [halloweenpie],Refused [yogurt],Refused [frozenyogurt],Refused [caramel],Refused [potato],Refused [papertowel],Refused [fruitice],Refused [chips],Refused [rubber],Refused [muffin],Refused [frenchfries],Refused [candystick],Refused [cacao],Refused [toys],Refused [taco],Refused [silk],Refused [potatobread],Refused [pizza],Refused [glue],Refused [dress],Refused [doughnut],Refused [chair],Refused [SilverBullion],Refused [wheel],Refused [wallpapers],Refused [silkfabric],Refused [plasticbottle],Refused [plastic],Refused [nachos],Refused [lollipop],Refused [jellybeans],Refused [flipflops],Refused [cupcake],Refused [chocolate],Refused [brownie],Refused [book],Refused [PlatinumBullion],Refused [GoldBullion],Refused [eskimo],Refused [ball],Refused [pepper],Refused [honeycomb],Refused [suit],Refused [sauce],Refused [rubberTree],Refused [toffee],Refused [honeycaramel],Refused [hat],Refused [cheesecake],Refused [cowfeed],,,,,,,,,,,,
16-19,82929,64446,64175,60705,54139,53594,53004,52719,52480,50993,50676,49756,48410,48025,47488,47227,46944,44902,43504,43303,43156,41178,40889,40374,40298,39983,38051,20925,18319,17707,581,408,135,130,128,121,12,6,6,5,5,5,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lvl,Refused [icecream],Refused [paper],Refused [wool],Refused [carrot],Refused [syrup],Refused [fruitice],Refused [egg],Refused [cornchips],Refused [popcorn],Refused [granola],Refused [coat],Refused [milkshake],Refused [cotton],Refused [corn],Refused [sugarcane],Refused [shirt],Refused [pine],Refused [butter],Refused [sweater],Refused [tomat],Refused [bread],Refused [cottonfabric],Refused [cheese],Refused [cookie],Refused [cheeseburger],Refused [sandwich],Refused [woolfabric],Refused [sugar],Refused [cream],Refused [wheat],Refused [strawberry],Refused [yogurt],Refused [bagel],Refused [milk],Refused [pizza],Refused [chips],Refused [potato],Refused [papertowel],Refused [frozenyogurt],Refused [caramel],Refused [muffin],Refused [halloweenchips],Refused [pumpkin],Refused [halloweencostume],Refused [halloweenpie],Refused [eskimo],Refused [potatobread],Refused [honeycomb],Refused [cacao],Refused [wallpapers],Refused [silkfabric],Refused [brownie],Refused [suit],Refused [silk],Refused [rubberTree],Refused [rubber],Refused [plasticbottle],Refused [nachos],Refused [jellybeans],Refused [hat],Refused [glue],Refused [frenchfries],Refused [doughnut],Refused [chair],Refused [ball],Refused [SilverBullion],Refused [table],Refused [sauce],Refused [plastic],Refused [lollipop],Refused [GoldBullion],Refused [PlatinumBullion],Refused [pepper],Refused [cupcake],Refused [toys],Refused [toffee],Refused [couch],Refused [cheesecake],Refused [dress],Refused [candystick],Refused [cowfeed],Refused [wheel],Refused [chocolate],Refused [flipflops],Refused [taco],,,,,,,,,,,,
20-23,76155,72611,54170,50207,50190,49853,48592,48080,47860,47717,47542,46432,46126,45916,44859,44688,44090,43674,43587,43517,43375,43144,42786,41898,41533,41191,40977,40795,40766,40604,39649,38917,38767,36275,25202,24391,19969,18858,18119,466,329,101,98,97,88,7,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
