,Title,Image,Old price,New price,Diagonal of display,Shape of display,Processor series,CPU,Cores,CPU base frequency,RAM,RAM type,RAM frequency,HDD,SSD,Video card,Model of video card,Video card capacity,Web-camera,Shape,Weight
https://www.foxtrot.com.ua/ru/shop/noutbuki_lenovo_legion-y520-15-80wk00uxra.html,Ноутбук LENOVO IdeaPad Y520-15 (80WK00UXRA),https://i1.foxtrot.com.ua/product/thumb/6362901.jpg,,29999,15.6,1920 x 1080,Intel® Core™ i5 (7 поколение),7300HQ,4,2.5,16 Гб,DDR4,2400,1 Тб,,NVIDIA,GeForce GTX1050Ti,4 Гб,1 Мп (HD),380 x 265 x 25.8,2.4 кг
https://www.foxtrot.com.ua/ru/shop/noutbuki_hp_pavilion-gaming-15-cx0042ur-4ps16ea.html,Ноутбук HP Pavilion Gaming 15-cx0042ur (4PS16EA),https://i1.foxtrot.com.ua/product/thumb/6414836.jpg,25999,24999,15.6,1920 x 1080,Intel® Core™ i5 (8 поколение),8300H,4,2.3,8 Гб,DDR4,2666,1 Тб,,NVIDIA,GeForce GTX1050,2 Гб,1 Мп (HD),365 x 256.5 x 25.4,2.4 кг
https://www.foxtrot.com.ua/ru/shop/noutbuki_hp_250-g6-3vk20es.html,Ноутбук HP 250 G6 (3VK20ES) Dark Ash,https://i1.foxtrot.com.ua/product/thumb/6422451.jpg,,11999,15.6,1366 х 768,Intel® Core™ i3 (6 поколение),6006U,2,2.0,4 Гб,DDR4,2133,,128 Гб,AMD,Radeon 520,2 Гб,0.3 Мп (VGA),380 x 253.8 x 23.8,1.86 кг
https://www.foxtrot.com.ua/ru/shop/noutbuki_apple_a1466-macbook-air-mqd32ua-a.html,Ноутбук APPLE A1466 MacBook Air (MQD32UA/A),https://i1.foxtrot.com.ua/product/thumb/6353998.jpg,,29999,13.3,1400 х 900,,,2,1.8,8 Гб,LPDDR3,1600,,128 Гб,,Intel HD Graphics 6000,,1 Мп (HD),325 x 227 x 3 - 17,1.35 кг
https://www.foxtrot.com.ua/ru/shop/noutbuki_acer_aspire-5-a515-51g-38eg-nx-gvmeu-015.html,Ноутбук ACER Aspire 5 A515-51G-38EG (NX.GVMEU.015),https://i1.foxtrot.com.ua/product/thumb/6387560.jpg,14599,12999,15.6,1920 x 1080,Intel® Core™ i3 (6 поколение),6006U,2,2.0,6 Гб,DDR4,2133,1 Тб,,NVIDIA,GeForce MX130,2 Гб,1 Мп (HD),381.6 x 263 x 21.6,2.2 кг
https://www.foxtrot.com.ua/ru/shop/noutbuki_lenovo_330-15ast-onyx-black-81d60097ra.html,Ноутбук LENOVO 330-15AST (81D60097RA) Onyx Black,https://i1.foxtrot.com.ua/product/thumb/6404192.jpg,,8999,15.6,1366 х 768,AMD A6,9225,2,2.6,4 Гб,DDR4,2133,500 Гб,,,Radeon R4,,0.3 Мп (VGA),378 х 260 х 22.9,2.2 кг
https://www.foxtrot.com.ua/ru/shop/noutbuki_acer_aspire-e5-576g-52zh-nx-gvbeu-034.html,Ноутбук ACER Aspire E5-576G-52ZH (NX.GVBEU.034),https://i1.foxtrot.com.ua/product/thumb/6380117.jpg,20599,18999,15.6,1920 x 1080,Intel® Core™ i5 (7 поколение),7200U,2,2.5,6 Гб,DDR3L,1600,1 Тб,,NVIDIA,GeForce MX130,2 Гб,1 Мп (HD),381.6 x 259 x 30.2,2.23 кг
https://www.foxtrot.com.ua/ru/shop/noutbuki_acer_predator-helios-300-ph315-51-784y-nh-q3feu-023.html,Ноутбук ACER Predator Helios 300 PH315-51-784Y (NH.Q3FEU.023),https://i1.foxtrot.com.ua/product/thumb/6393230.jpg,,41999,15.6,1920 x 1080,Intel® Core™ i7 (8 поколение),8750H,6,2.2,16 Гб,DDR4,,2 Тб,,NVIDIA,GeForce GTX1060,6 Гб,1 Мп (HD),390 х 266 х 26.8,2.7 кг
https://www.foxtrot.com.ua/ru/shop/noutbuki_lenovo_legion-y520-15ikbn-80wk00yvra.html,Ноутбук LENOVO Legion Y520-15IKBN (80WK00YVRA),https://i1.foxtrot.com.ua/product/thumb/6357491.jpg,,25999,15.6,1920 x 1080,Intel® Core™ i5 (7 поколение),7300HQ,4,2.5,6 Гб,DDR4,2400,1 Тб,,NVIDIA,GeForce GTX1050,4 Гб,1 Мп (HD),380 x 265 x 25.8,2.4 кг
https://www.foxtrot.com.ua/ru/shop/noutbuki_hp_laptop-15-ra020ur-3fy64ea.html,Ноутбук HP Laptop 15-ra020ur (3FY64EA),https://i1.foxtrot.com.ua/product/thumb/6391867.jpg,,6999,15.6,1366 х 768,Intel® Celeron™,N3060,2,1.6,4 Гб,DDR3L,1600,500 Гб,,,Intel HD Graphics 400,,1 Мп (HD),380 x 253.8 x 23.8,2.1 кг
